"","Location_Name","Lot_Number","Y","X","ELEV_ft","STATE","COUNTY","COLLECT_DATE","PROV_SEED_ZONE","Plant Code","seed_weight","tz_2014_pct","ploidy_chr","notes","gb_psz","prop_weight","accession_id","No. plants","trnH-psbA cpDNA sequence","trnK-rps16 cpDNA sequence","Accession name","cpDNA haplotype","ploidy_num","bayesian_group","L. cinreus Rocky Mtn. race","L. cinreus Columbia race","L. cinreus Great Basin race","L. triticoides","race","color_group"
"105",NA,NA,46.523,-117.834,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_WA.08",2,"EF485798","EF486132","T-995","41","56","2",0.0035,0.9925,0.0035,5e-04,"Columbia","Columbia"
"106",NA,NA,47.65,-117.8333,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_WA.33",2,"EF485825","EF486159","T-981","41","56","2",0.004,0.9885,0.0045,0.003,"Columbia","Columbia"
"107",NA,NA,42.7988,-117.7474,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_OR.10",2,"EF485725","EF486059","T-1655","30","56","3",0.1025,0.021,0.873,0.0035,"Great Basin","Great Basin"
"108",NA,NA,41.1372,-117.733,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_NV.39",2,"EF485693","EF486027","U83-02","40","28","1",0.9855,0.005,0.009,5e-04,"Rocky Mtn.","Rocky Mtn."
"109","Sand Pass LECI4","LECI4-1120-2002",41.137194,-117.73298,5000,"Nevada","Humboldt",2002-07-10,"20 - 25 Deg. F. / 6 - 12","LECI4",2,88,"Tetraploid",NA,"Zone 16",0.6005291005291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zone 16"
"110",NA,NA,46.7698,-117.7037,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_WA.14",3,"EF485806","EF486140","T-994","28","56","2",0.0033,0.9937,0.002,0.001,"Columbia","Columbia"
"111","Pleasant Valley LECI4","LECI4-2502-2014",40.253304,-117.672611,4300,"Nevada","Pershing",2014-07-30,"15 - 20 Deg. F. / 6 - 12","LECI4",0.5,96,"Tetraploid",NA,"Zone 12",0.04359197907585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zone 12"
"112",NA,NA,41.8439,-117.6536,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_NV.60",2,"EF485711","EF486045","BK-30","41","28","1",0.9665,0.006,0.027,0.001,"Rocky Mtn.","Rocky Mtn."
"113",NA,NA,45.0372,-117.6403,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_OR.44",2,"EF485760","EF486094","T-1009","48","56","2",0.017,0.9705,0.0125,0.001,"Columbia","Columbia"
"114",NA,NA,47.1098,-117.6402,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_WA.20",2,"EF485812","EF486146","T-973","41","56","2",0.003,0.994,0.0025,5e-04,"Columbia","Columbia"
"115",NA,NA,42.8413,-117.6255,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_OR.11",3,"EF485727, 28","EF486061, 62","T-1653","40,44","56","1",0.7117,0.028,0.2593,0.0013,"Rocky Mtn.","Rocky Mtn."
"116",NA,NA,47.639,-117.5695,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_WA.32",2,"EF485824","EF486158","T-980","40","56","2",0.0065,0.989,0.004,0.001,"Columbia","Columbia"
"117","Paradise Valley LECI4","LECI4-2500-2014",41.517733,-117.544849,4700,"Nevada","Humboldt",2014-07-29,"15 - 20 Deg. F. / 6 - 12","LECI4",0.5,98,"Octoploid",NA,"Zone 12",0.04359197907585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zone 12"
"118","Burge Ranch LECI4","LECI4-2497-2014",41.469428,-117.53415,4500,"Nevada","Humboldt",2014-07-30,"15 - 20 Deg. F. / 6 - 12","LECI4",0.5,82,"Octoploid",NA,"Zone 12",0.04359197907585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zone 12"
"119",NA,NA,47.0223,-117.4903,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_WA.19",2,"EF485811","EF486145","T-972","41","56","2",0.0025,0.992,0.0045,0.001,"Columbia","Columbia"
"120",NA,NA,40.6167,-117.4333,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_NV.19",2,"EF485675","EF486009","Acc:397","44","28","1",0.6635,0.003,0.3225,0.011,"Rocky Mtn.","Rocky Mtn."
"121",NA,NA,41.6667,-117.4333,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_NV.57",2,"-","-","PI 563862","-","28","3",0.002,0.0015,0.9955,0.001,"Great Basin","Great Basin"
"122",NA,NA,46.6833,-117.3833,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_WA.09",2,"EF485801","EF486135","T-14","41","56","2",0.003,0.99,0.0065,0.001,"Columbia","Columbia"
"123",NA,NA,45.441,-117.3507,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_OR.51",2,"EF485766","EF486100","T-1006","40","56","2",0.009,0.9845,0.0055,0.001,"Columbia","Columbia"
"124",NA,NA,45.492,-117.276,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_OR.53",3,"-","-","T-1005","-","56","2",0.0053,0.9903,0.0027,0.0017,"Columbia","Columbia"
"125",NA,NA,43.91,-117.1768,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_OR.24",3,"EF485742","EF486076","U108-01","42","56","2",0.0073,0.974,0.0087,0.01,"Columbia","Columbia"
"126","Gold Venture Road LECI4","LECI4-1074-2003",39.44296,-117.176143,5792,"Nevada","Lander",2003-07-24,"10 - 15 Deg. F. / 6 - 12","LECI4",1,NA,"Tetraploid",NA,"Zone 8",0.111111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zone 8"
