gbifID,stateProvince,decimalLatitude,decimalLongitude,year,basisOfRecord
2270661464,Arizona,36.73,-112.05,1982,PRESERVED_SPECIMEN
2270659669,Arizona,36.73,-112.05,1966,PRESERVED_SPECIMEN
3091265507,Arizona,36.7377,-112.063,1994,PRESERVED_SPECIMEN
2270661743,Arizona,36.7377,-112.063,1994,PRESERVED_SPECIMEN
1846533996,Arizona,36.7377,-112.063,1994,PRESERVED_SPECIMEN
3329398795,Arizona,36.74536,-111.73291,2016,PRESERVED_SPECIMEN
1846484655,Arizona,36.74536,-111.73291,2016,PRESERVED_SPECIMEN
2270505978,Arizona,36.781167,-112.6996,2013,PRESERVED_SPECIMEN
3858382278,Arizona,36.815771,-112.672305,2020,HUMAN_OBSERVATION
3091273654,Arizona,36.819161,-113.189803,2011,PRESERVED_SPECIMEN
3384957728,Arizona,36.820647,-112.173258,2021,HUMAN_OBSERVATION
1929161131,Arizona,36.823387,-114.009605,1985,PRESERVED_SPECIMEN
2270662685,Arizona,36.8534,-113.572,1978,PRESERVED_SPECIMEN
3091239982,Arizona,36.876667,-113.0425,2003,PRESERVED_SPECIMEN
1929159474,Arizona,36.886631,-113.584123,1942,PRESERVED_SPECIMEN
3091247605,Arizona,36.888189,-111.74359,2012,PRESERVED_SPECIMEN
3091202906,Arizona,36.889504,-111.693023,2013,PRESERVED_SPECIMEN
1846552703,Arizona,36.889504,-111.693023,2013,PRESERVED_SPECIMEN
3784200307,Arizona,36.897134,-111.748896,2011,PRESERVED_SPECIMEN
1846541262,Arizona,36.897134,-111.748896,2011,PRESERVED_SPECIMEN
1846552670,Arizona,36.898438,-111.675763,2013,PRESERVED_SPECIMEN
2270660191,Arizona,36.9,-112.6,1966,PRESERVED_SPECIMEN
2270659894,Arizona,36.9,-112.6,1965,PRESERVED_SPECIMEN
1928967700,Arizona,36.93,-113.53,1969,PRESERVED_SPECIMEN
1928126015,Arizona,36.930717,-112.3776,2008,PRESERVED_SPECIMEN
2422496767,Arizona,36.93658,-113.55355,2012,PRESERVED_SPECIMEN
2610075646,Arizona,36.936583,-113.55355,2012,PRESERVED_SPECIMEN
2270660963,Arizona,36.9394,-113.532,1969,PRESERVED_SPECIMEN
1846533749,Arizona,36.9394,-113.5317,1969,PRESERVED_SPECIMEN
1805185154,Arizona,36.940017,-113.526722,1969,PRESERVED_SPECIMEN
2610078017,Arizona,36.940026,-113.527106,1969,PRESERVED_SPECIMEN
2270600656,Arizona,36.9427,-113.251,1993,PRESERVED_SPECIMEN
1846533695,Arizona,36.94506,-112.59864,1975,PRESERVED_SPECIMEN
3091221802,Arizona,36.945548,-112.580265,1965,PRESERVED_SPECIMEN
1500225110,Arizona,36.951637,-113.795587,2017,HUMAN_OBSERVATION
