"Pop","ID","All","Trail","Dist","Site","Side","Lat","Long","DensoAvg","C","N","C_N_Ratio","PC1","PC2","PC3","PC4","PC5","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","ESS1","ESS2","ESS3","ESS4","ESS5","ESS6","ESS7","ESS8","ESS9","ESS10","Rhat1","Rhat2","Rhat3","Rhat4","Rhat5","Rhat6","Rhat7","Rhat8","Rhat9","Rhat10"
"SAZ500",8,"SAZ500_8","SAZ",500,"LS","L",10.43456596,-84.00525698,82.75,2.606666667,0.306666667,8.5,7.37723350443895,-3.15403761663137,-12.1700953439715,-12.8664647184519,-11.5885960396518,0.057264,0.06919,0.103811,0.3401,0.169863,0.158056,0.00237,0.022454,0.011399,0.065492,2125.82,1242.31,757.48,2.07,2.02,260.54,183.46,464.89,116.37,2228.96,1.001,1.016,1.089,10.877,13.664,1.121,1.039,1.02,1.008,1.001
"SAZ500",9,"SAZ500_9","SAZ",500,"LS","L",10.43456596,-84.00525698,82.75,2.606666667,0.306666667,8.5,-0.878065780726139,-9.34173368257006,-22.7986212680076,13.9431812552472,-13.2680425841217,0.02306,0.085671,0.027661,0.365683,0.220371,0.101901,0.043889,0.115415,0.000308,0.016042,397.78,1112.15,396.08,2.24,2.06,1528.25,1262.84,509.17,1069.06,90.45,1.184,1.003,1.007,7.799,10.215,1.028,1.015,1.078,1.001,1.036
"SLV400",1,"SLV400_1","SLV",400,"LS","B",10.43974003,-84.01232804,68.25,1.725,0.205,8.4,17.282594749901,-0.463706260571895,-22.3445714459777,32.7243140614639,7.27910816955414,0.044221,0.00315,0.000202,0.448019,0.177157,0.035019,0.008766,0.182152,0.001311,0.100002,938.95,201.85,1484.09,2.01,1.99,42.26,41.61,3358.54,355.57,2419.65,1.102,1.019,1.002,17.557,20.656,1.364,1.332,1.005,1.031,1.006
"SLV400",2,"SLV400_2","SLV",400,"LS","B",10.43974003,-84.01232804,68.25,1.725,0.205,8.4,13.0043741078853,-15.4868674765153,-19.9940118439139,10.1703943900819,-18.2947708212096,0.000601,0.000188,0.003656,0.504506,0.214272,0.126542,0.043406,0.053805,0.000498,0.052525,600.52,1546.9,6.18,2.02,1.99,4.97,14.95,588.2,843.6,567.41,1.001,1.004,1.306,26.755,42.204,1.753,1.286,1.067,1.012,1.117
"SOC1000",1,"SOC1000_1","SOC",1000,"LS","B",10.43857897,-84.01136496,91.75,1.415,0.17,8.5,25.1510244719449,-8.39997401356412,-19.3144852369984,7.96848606089339,-4.67642895289283,0.001189,0.00436,0.03214,0.457815,0.231152,0.059815,0.001754,0.092157,0.002231,0.117387,332.72,178.02,387.35,2.03,2.01,22.55,256.98,671.59,250.48,626.8,1.005,1.005,1.129,18.49,22.646,1.23,1.046,1.106,1.023,1.169
"SOC1000",2,"SOC1000_2","SOC",1000,"LS","B",10.43857897,-84.01136496,91.75,1.415,0.17,8.5,-2.46968105547146,-8.73319668825614,-23.530568417745,11.9277056829022,-25.6327955216576,0.037676,0.004084,0.007215,0.560804,0.234262,0.054625,0.042816,0.057395,0.000191,0.000931,109.28,152.15,110.95,2.01,2.01,15.36,195.22,458.29,1518.23,408.47,1.235,1.018,1.14,18.676,23.704,1.235,1.223,1.093,1,1.004
"SOC1000",3,"SOC1000_3","SOC",1000,"LS","B",10.43857897,-84.01136496,91.75,1.415,0.17,8.5,11.289018091609,-17.6388319479766,-26.75670832924,2.51133710443283,-13.1192478869108,0.00097,0.002957,0.007939,0.502425,0.214955,0.172456,0.003062,0.040877,0.028172,0.026186,371.19,183.3,3.89,2.02,2,4.27,139.31,409.52,668.4,168.51,1.002,1.017,1.966,25.269,37.183,1.869,1.096,1.056,1.088,1.197
"SOC1200",1,"SOC1200_1","SOC",1200,"LS","B",10.44017304,-84.01175899,73.625,2.015,0.235,8.6,33.5790864204306,-14.0825297480888,-30.1341003676175,-13.9587223540917,-6.08950896209959,3.2e-05,4e-05,5e-05,3.7e-05,4.3e-05,0.9996,3.7e-05,4.2e-05,3.9e-05,7.8e-05,8139.31,6640.17,5187.03,6869.07,6257.69,5185.12,7177.03,6946.63,6626.58,3614.33,1,1,1,1,1.001,1.001,1,1,1.001,1
"SOC1200",2,"SOC1200_2","SOC",1200,"LS","B",10.44017304,-84.01175899,73.625,2.015,0.235,8.6,30.563681524972,-12.4006621998408,-28.265333230307,-13.3154011490855,-5.82446195652345,5.2e-05,5.8e-05,6.2e-05,5.4e-05,5e-05,0.999457,5.6e-05,4.8e-05,5.5e-05,0.000106,5481.11,4121.39,4713.51,4952.66,5973.46,3760.45,4965.36,5619.44,5049.37,2477.9,1.001,1,1.001,1,1,1.001,1,1,1,1
"SOC1200",3,"SOC1200_3","SOC",1200,"LS","B",10.44017304,-84.01175899,73.625,2.015,0.235,8.6,31.3961592046473,-14.1635594177053,-29.513325758235,-13.7473741225443,-5.74430778153939,3.5e-05,5.1e-05,4.7e-05,4.1e-05,4.7e-05,0.999589,4.1e-05,4.6e-05,4.9e-05,5.3e-05,7327.92,5960.63,6024.97,6439.84,5665.03,5626.38,6968.28,5939.68,5459.16,5482.13,1.001,1,1.001,1,1.001,1.001,1,1,1,1
