param,effectiveSampleSize,potentialScaleReductionFactor
q_ind_73_pop_2,4763.58,1.001
q_ind_74_pop_2,12082.59,1.000
q_ind_75_pop_2,11734.51,1.000
q_ind_76_pop_2,6838.95,1.000
q_ind_77_pop_2,1832.92,1.003
q_ind_78_pop_2,11743.32,1.000
q_ind_79_pop_2,6751.31,1.000
q_ind_80_pop_2,10476.31,1.000
q_ind_81_pop_2,10749.02,1.000
q_ind_82_pop_2,2019.53,1.000
q_ind_83_pop_2,1831.59,1.002
q_ind_84_pop_2,4047.80,1.000
q_ind_85_pop_2,1325.61,1.003
q_ind_86_pop_2,8223.84,1.000
q_ind_87_pop_2,2920.64,1.000
q_ind_88_pop_2,950.49,1.000
q_ind_89_pop_2,8761.95,1.000
q_ind_90_pop_2,553.30,1.003
q_ind_91_pop_2,5122.17,1.000
q_ind_92_pop_2,8400.61,1.001
q_ind_93_pop_2,7819.48,1.000
q_ind_94_pop_2,2651.19,1.000
q_ind_95_pop_2,2789.75,1.001
q_ind_96_pop_2,2552.16,1.002
q_ind_97_pop_2,193.51,1.007
q_ind_98_pop_2,983.29,1.002
q_ind_99_pop_2,1520.78,1.001
q_ind_100_pop_2,2260.63,1.000
q_ind_101_pop_2,1963.26,1.001
q_ind_102_pop_2,893.10,1.003
q_ind_103_pop_2,342.97,1.001
q_ind_104_pop_2,2189.60,1.000
q_ind_105_pop_2,2470.86,1.001
q_ind_106_pop_2,2418.76,1.001
q_ind_107_pop_2,2190.04,1.001
q_ind_108_pop_2,1797.29,1.001
q_ind_109_pop_2,1520.06,1.001
q_ind_110_pop_2,9646.60,1.001
q_ind_111_pop_2,1701.45,1.002
q_ind_112_pop_2,9089.27,1.000
q_ind_113_pop_2,8258.18,1.000
q_ind_114_pop_2,7493.79,1.000
q_ind_115_pop_2,2282.96,1.001
q_ind_116_pop_2,4954.15,1.000
q_ind_117_pop_2,1539.44,1.000
q_ind_118_pop_2,704.83,1.001
q_ind_119_pop_2,984.47,1.002
q_ind_120_pop_2,542.29,1.007
q_ind_121_pop_2,1096.33,1.002
q_ind_122_pop_2,618.68,1.001
q_ind_123_pop_2,271.44,1.009
q_ind_124_pop_2,142.06,1.003
q_ind_125_pop_2,3024.28,1.001
q_ind_126_pop_2,2019.92,1.001
q_ind_127_pop_2,2325.98,1.002
q_ind_128_pop_2,2125.10,1.000
q_ind_129_pop_2,94.72,1.060
